Away Team,Home Team,Time,TV,Tickets
Ball State,@Northern Illinois,7:00 PM,,Tickets as low as $3
Central Michigan,@Western Michigan,7:00 PM,,Tickets as low as $11
Ohio,@Buffalo,7:30 PM,,Tickets as low as $16
Akron,@Miami (OH),7:00 PM,,Tickets as low as $20
Bowling Green,@Kent State,7:00 PM,,Tickets as low as $7
Eastern Michigan,@Toledo,7:30 PM,,Tickets as low as $6
Virginia,@13Louisville,7:30 PM,,Tickets as low as $7
Southern Miss,@Louisiana,7:30 PM,,Tickets as low as $25
North Texas,@SMU,9:00 PM,,Tickets as low as $15
Wyoming,@UNLV,10:45 PM,FS1,Tickets as low as $33
3Michigan,@11Penn State,12:00 PM,FOX,Tickets as low as $129
8Alabama,@Kentucky,12:00 PM,,Tickets as low as $93
Texas Tech,@21Kansas,12:00 PM,FS1,Tickets as low as $15
Tulsa,@24Tulane,12:00 PM,,Tickets as low as $3
Holy Cross,@Army,12:00 PM,CBSSN,Tickets as low as $35
Indiana,@Illinois,12:00 PM,BTN,Tickets as low as $10
Maryland,@Nebraska,12:00 PM,Peacock,Tickets as low as $10
Vanderbilt,@South Carolina,12:00 PM,,Tickets as low as $28
Virginia Tech,@Boston College,12:00 PM,,Tickets as low as $15
Georgia Tech,@Clemson,12:00 PM,,Tickets as low as $17
Temple,@South Florida,12:00 PM,,Tickets as low as $6
Old Dominion,@Liberty,1:00 PM,,Tickets as low as $24
UConn,@James Madison,2:00 PM,,Tickets as low as $64
Arizona,@Colorado,2:00 PM,PAC12,Tickets as low as $100
NC State,@Wake Forest,2:00 PM,CW NETWORK,Tickets as low as $27
Memphis,@Charlotte,2:00 PM,,Tickets as low as $22
Appalachian State,@Georgia State,2:00 PM,,Tickets as low as $14
Troy,@UL Monroe,2:00 PM,,Tickets as low as $20
Baylor,@23Kansas State,3:00 PM,BIG12|ESPN+,Tickets as low as $35
Sam Houston,@Louisiana Tech,3:00 PM,,Tickets as low as $13
Nevada,@Utah State,3:00 PM,,Tickets as low as $15
Miami,@4Florida State,3:30 PM,,Tickets as low as $169
18Utah,@5Washington,3:30 PM,FOX,Tickets as low as $46
17Tennessee,@12Missouri,3:30 PM,,Tickets as low as $67
22Oklahoma State,@UCF,3:30 PM,,Tickets as low as $27
Rutgers,@Iowa,3:30 PM,BTN,Tickets as low as $27
Florida International,@Middle Tennessee,3:30 PM,,Tickets as low as $10
Minnesota,@Purdue,3:30 PM,NBC,Tickets as low as $5
Northwestern,@Wisconsin,3:30 PM,FS1,Tickets as low as $29
New Mexico State,@Western Kentucky,3:30 PM,,Tickets as low as $8
Pittsburgh,@Syracuse,3:30 PM,,Tickets as low as $39
UAB,@Navy,3:30 PM,CBSSN,Tickets as low as $20
Texas State,@Coastal Carolina,3:30 PM,,Tickets as low as $21
Auburn,@Arkansas,4:00 PM,,Tickets as low as $13
Washington State,@California,4:00 PM,,Tickets as low as $22
East Carolina,@Florida Atlantic,4:00 PM,,Tickets as low as $13
Arkansas State,@South Alabama,5:00 PM,,Tickets as low as $14
Stanford,@16Oregon State,5:30 PM,PAC12,Tickets as low as $41
10Ole Miss,@2Georgia,7:00 PM,,Tickets as low as $291
West Virginia,@9Oklahoma,7:00 PM,FOX,Tickets as low as $40
Cincinnati,@Houston,7:00 PM,FS1,Tickets as low as $3
Georgia Southern,@Marshall,7:00 PM,NFL NET,Tickets as low as $16
San Diego State,@Colorado State,7:00 PM,CBSSN,Tickets as low as $20
Michigan State,@1Ohio State,7:30 PM,NBC,Tickets as low as $71
7Texas,@TCU,7:30 PM,,Tickets as low as $131
Florida,@14LSU,7:30 PM,,Tickets as low as $63
Mississippi State,@Texas A&M,7:30 PM,,Tickets as low as $54
Rice,@UTSA,7:30 PM,,Tickets as low as $8
Duke,@North Carolina,8:00 PM,,Tickets as low as $85
Arizona State,@19UCLA,9:00 PM,PAC12,Tickets as low as $35
New Mexico,@Boise State,10:00 PM,FS1,Tickets as low as $7
Iowa State,@BYU,10:15 PM,,Tickets as low as $26
20USC,@6Oregon,10:30 PM,FOX,Tickets as low as $63
Fresno State,@San José State,10:30 PM,CBSSN,Tickets as low as $30
25Air Force,@Hawai'i,11:00 PM,,Tickets as low as $24
