Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Keenan Stewart,UTEP,DT,16,16,32,0.0,12,0,0,0,0,0
Jay Kakiva,SJSU,DL,12,20,32,2.5,43,0,0,0,0,0
Tyson Durant,AKR,CB,19,13,32,0.0,0,6,1,2,0,0
Dylan Early,NMSU,S,17,15,32,0.0,29,2,1,0,0,0
Will McLaughlin,ISU,LB,14,18,32,1.0,0,1,2,9,0,0
CJ Bazile Jr.,LIB,DE,12,20,32,3.0,17,0,0,0,0,0
Rueben Bain Jr.,MIA,DL,17,15,32,6.5,0,1,0,0,0,2
Kenenna Odeluga,ILL,LB,21,11,32,0.0,0,1,0,0,0,2
Marcellas Dial,SC,DB,22,10,32,1.0,39,9,0,0,0,0
Ro Torrence,ASU,DB,20,12,32,2.0,15,2,1,0,0,0
Antonio Brooks,HOU,DB,25,7,32,0.0,0,0,0,0,0,0
Tavin Ward,USF,DB,24,8,32,0.0,25,8,1,0,0,0
Gabe Peterson,NMSU,LB,15,17,32,1.5,12,0,0,0,0,0
Elijah Palmer,HAW,DB,25,7,32,0.0,0,0,1,14,0,0
Buom Jock,CSU,LB,13,19,32,0.0,0,0,0,0,0,0
DeAgo Brumfield,MEM,DB,23,9,32,0.0,0,8,0,0,0,1
Dylan Howell,ULM,DL,8,24,32,2.0,0,2,0,0,0,0
Zamari Walton,MISS,CB,17,14,31,0.0,5,3,2,0,0,0
Gerry Vaughn,ISU,LB,9,22,31,0.0,19,0,0,0,0,0
Kanion Williams,TLSA,DB,19,12,31,0.0,9,1,1,-3,0,0
Capone Blue,KENT,CB,26,5,31,0.0,0,9,0,0,0,0
Kelechi Nwachuku,UTSA,S,21,10,31,0.0,0,0,0,0,0,0
Tyrek Funderburk,APP,CB,15,16,31,0.5,45,5,2,23,2,0
Cam Dillon,DUKE,LB,9,22,31,0.0,41,2,0,0,0,0
Fa'Najae Gotay,MD,LB,17,14,31,2.5,0,0,1,0,0,0
Christian Roland-Wallace,USC,CB,23,8,31,0.0,0,7,2,23,0,0
Chris Shearin,CONN,DB,20,11,31,0.0,0,3,2,0,0,1
Henry Bryant III,GAST,DL,12,19,31,1.0,61,0,0,0,0,0
Markel McLaurin,USM,CB,19,12,31,1.5,0,5,0,0,0,1
Keyshawn Swanson,TROY,S,18,13,31,0.0,1,1,0,0,0,1
JJ Pegues,MISS,DT,16,15,31,3.0,27,2,0,0,0,0
Dontavius Nash,ECU,DB,18,13,31,0.0,12,2,1,36,1,0
Donovan Kaufman,AUB,S,20,11,31,1.0,0,0,1,41,0,2
Jaylin Simpson,AUB,CB,22,9,31,0.0,41,3,4,50,1,0
Chad Stephens,ECU,DL,16,15,31,3.5,0,0,0,0,0,1
Chico Bennett Jr.,UVA,DE,14,17,31,0.0,10,0,0,0,0,0
Eric Watts,CONN,DL,15,16,31,1.0,0,1,0,0,0,1
Justin Harris,CIN,CB,19,12,31,0.0,0,6,1,0,0,0
DeVonne Harris,WYO,DE,18,13,31,3.0,22,3,0,0,0,0
Mikhari Sibblis,BALL,DL,14,17,31,2.5,0,0,0,0,0,0
Derrick Harmon,MSU,DL,14,17,31,1.5,0,1,0,0,0,1
Trenilyas Tatum,GT,LB,12,19,31,0.0,0,1,0,0,0,0
Mike Green,MRSH,DL,15,16,31,3.0,14,0,0,0,0,1
Kamari Ramsey,UCLA,DB,21,10,31,0.0,0,4,0,0,0,0
Amari Wansley,FAU,S,18,13,31,0.0,0,1,0,0,0,0
CJ Harris,KENT,LB,19,12,31,2.0,44,1,0,0,0,0
CJ West,KENT,DL,17,14,31,2.0,0,0,0,0,0,1
Shaun Dolac,BUFF,LB,17,14,31,0.0,12,0,1,32,0,0
Denzel Lowry,ODU,DT,5,26,31,2.0,0,1,0,0,0,0
Ernest Hausmann,MICH,LB,11,20,31,0.0,12,0,0,0,0,0
Caleb Wheatland,MD,LB,16,15,31,2.5,0,1,0,0,0,0
Michael Richard,LT,DB,14,17,31,0.0,12,7,0,0,0,0
Ben Nikkel,ISU,DB,16,15,31,0.0,0,3,0,0,0,0
Mason Nelson,WMU,DL,15,16,31,3.0,0,0,0,0,0,0
Kobe Singleton,LIB,CB,21,10,31,0.0,0,5,4,36,1,0
Donovan Adkins,SHSU,DB,17,14,31,0.0,10,0,0,0,0,0
Zach Morris,UNM,CB,23,8,31,0.0,0,7,1,5,0,1
D.J. James,AUB,CB,25,6,31,0.0,0,6,2,3,0,0
Alonzo Edwards Jr.,TXST,CB,18,13,31,2.0,0,0,0,0,0,1
Noah Kema,HAW,LB,14,17,31,0.0,0,1,1,0,0,0
Bryce Boettcher,ORE,LB,11,20,31,1.0,0,0,0,0,0,1
Simion Hines,ULM,S,19,12,31,0.0,8,1,0,0,0,0
Dakerric Hobbs,SHSU,DB,24,7,31,0.0,0,5,0,0,0,0
Matthew Littlejohn,CAL,DB,17,14,31,0.0,0,1,1,19,0,0
Nate Johnson,APP,LB,13,18,31,5.0,0,1,0,0,0,0
Anthony Johnson Jr.,WKU,DB,23,8,31,0.0,0,5,2,19,0,0
JB Brown,MASS,DL,7,23,30,2.5,33,1,0,0,0,0
Judge Culpepper,TOL,DT,12,18,30,6.0,43,0,0,0,0,1
Jaden Robinson,ORST,DB,21,9,30,0.5,0,6,0,0,0,1
Ralen Goforth,WASH,LB,15,15,30,0.0,0,2,0,0,0,0
Raquon Hartley,MTSU,LB,20,10,30,0.0,0,0,0,0,0,0
Cam Lampkin,WSU,DB,15,15,30,0.0,12,7,0,0,0,0
Jabari Moore,ARMY,DB,23,7,30,0.0,0,6,0,0,0,0
Deantre Prince,MISS,CB,20,10,30,0.0,16,5,1,44,0,1
Wy'Kevious Thomas,USA,DL,10,20,30,1.0,0,0,0,0,0,0
J.J. Weaver,UK,LB,23,7,30,4.0,9,2,0,0,0,0
Tonka Hemingway,SC,DT,17,13,30,1.5,0,5,0,0,0,0
Prince Dorbah,ASU,DL,14,16,30,6.0,0,1,0,0,0,0
Colby Dempsey,UAB,CB,20,10,30,0.0,52,8,0,0,0,0
JaQues Evans,WKU,LB,16,14,30,1.0,0,1,0,0,0,1
Mason Narcisse,UL,DL,23,7,30,0.0,45,0,0,0,0,0
Kendron Wayman,WAKE,DL,13,17,30,2.0,0,2,0,0,0,0
Gabe Jeudy-Lally,TENN,DB,20,10,30,1.0,0,3,1,36,0,1
Mitchell Kulkin,TLSA,LB,13,17,30,0.5,26,3,1,0,0,0
Jackson Lataimua,WSU,DB,18,12,30,0.0,0,1,1,0,0,0
Kenyon Reed,SJSU,CB,26,4,30,1.0,6,3,0,0,0,0
Jashon Prophete,NIU,CB,20,10,30,0.0,0,4,0,0,0,1
Jaishawn Barham,MD,LB,20,10,30,3.0,0,1,0,0,0,0
Wesley Bissainthe,MIA,LB,19,11,30,2.0,0,0,0,0,0,0
Damonic Williams,TCU,DL,13,17,30,2.0,0,0,0,0,0,0
Keaten Wade,UK,LB,15,15,30,1.0,0,0,0,0,0,0
Donald Berniard Jr.,NAVY,G,6,24,30,1.5,0,0,0,0,0,0
Tyler Strain,ILL,DB,23,7,30,0.0,94,3,0,0,0,0
Devean Deal,TULN,DE,19,11,30,3.0,0,1,0,0,0,1
Jarrett Jerrels,FAU,LB,17,13,30,0.0,0,0,1,0,0,0
Brian Blades,FIU,DB,22,8,30,0.0,0,5,0,0,0,0
Kailep Edwards,UL,LB,19,11,30,0.0,0,2,0,0,0,0
Deonte Anderson,MSST,DE,10,20,30,0.5,0,4,0,0,0,1
Owen Ostroski,TLSA,DL,13,17,30,4.0,0,0,0,0,0,0
Ahmaad Moses,SMU,S,19,11,30,1.0,16,1,0,0,0,0
Jordan Kwiatkowski,CMU,LB,16,14,30,0.0,0,2,0,0,0,0
Deante McCray,WKU,DE,14,16,30,1.0,0,0,0,0,0,0
Amari Jackson,BC,CB,26,4,30,0.0,0,0,1,30,1,0
Miguel Mitchell,FLA,S,15,15,30,0.0,0,2,1,0,0,0
Michael Taaffe,TEX,DB,19,11,30,0.0,15,1,3,45,0,0
Nate Martey,ARST,DT,10,20,30,4.0,7,0,0,0,0,0
Andrew Duhart,NAVY,CB,24,6,30,1.0,0,1,1,0,0,0
Brenyen Scott,TEM,S,16,14,30,0.0,23,0,0,0,0,0
Maurice Westmoreland,UTEP,DE,20,10,30,5.5,4,3,0,0,0,1
Zion Nason,LT,DL,6,24,30,1.5,0,0,0,0,0,0
Nolan Johnson,ODU,CB,13,16,29,0.0,0,4,0,0,0,0
Jason Maitre,WIS,CB,20,9,29,0.0,0,3,1,19,0,0
Carson Kropp,UNT,LB,16,13,29,0.5,10,0,1,11,0,0
Austin Fontaine,CLT,OL,11,18,29,0.0,13,1,0,0,0,0
Quentin Bivens,USM,DT,7,22,29,0.5,0,2,0,0,0,0
Lance Robinson,TULN,DB,19,10,29,0.0,0,7,4,52,0,0
Savion Jackson,NCSU,DE,6,23,29,2.5,23,0,0,0,0,0
Darius Alexander,TOL,DT,10,19,29,2.5,0,3,0,0,0,0
Bam Brima,PITT,DL,13,16,29,3.0,13,0,0,0,0,0
CorMontae Hamilton,MEM,DL,18,11,29,2.0,66,1,0,0,0,0
Tarian Lee Jr.,GASO,LB,18,11,29,0.0,0,1,1,-2,0,0
Tyler Rudolph,MASS,S,17,12,29,1.0,42,4,1,0,0,0
A.J. Woods,PITT,DB,15,14,29,2.0,0,3,1,2,0,0
Desmond Evans,UNC,DL,16,13,29,2.0,76,4,0,0,0,0
Taiwan Berryhill Jr.,KU,LB,22,7,29,1.0,25,0,0,0,0,0
Deshon Hall Jr.,LT,DL,14,15,29,3.5,1,0,0,0,0,0
Romain Mungin,FAU,CB,20,9,29,0.0,0,3,0,0,0,0
Lanell Carr Jr.,IU,LB,17,12,29,5.0,67,2,0,0,0,0
Shemar Turner,TA&M,DL,13,16,29,6.0,0,0,0,0,0,2
Tramel Logan,USF,DE,12,17,29,1.5,1,3,1,22,1,0
Tyler Davis,CLEM,DT,11,18,29,0.5,76,1,0,0,0,0
Roderick Roberson,LT,DB,16,13,29,0.0,42,0,0,0,0,1
Tony Bradford Jr.,TTU,DL,14,15,29,3.0,0,0,0,0,0,1
Malachi Ruffin,WVU,CB,22,7,29,0.0,0,4,1,0,0,0
Bryquice Brown,GAST,CB,22,7,29,0.0,9,6,1,43,0,0
Jared Verse,FSU,DL,15,14,29,4.5,0,2,0,0,0,0
Simeon Barrow Jr.,MSU,DL,10,19,29,2.5,0,0,0,0,0,1
Jordan Young,CIN,CB,17,12,29,0.0,0,6,1,0,0,0
Ryan Watts,TEX,DB,23,6,29,0.0,0,3,0,0,0,0
Max Melton,RUTG,DB,19,10,29,1.0,0,6,2,2,0,1
Mumu Bin-Wahad,CONN,CB,21,8,29,1.0,0,3,0,0,0,1
Kolbey Taylor,WYO,CB,22,7,29,0.0,0,7,0,0,0,0
Amari McNeill,COLO,DL,21,8,29,3.0,66,1,0,0,0,1
Zion Washington,BOIS,S,16,13,29,1.0,0,0,0,0,0,0
Bradley Weaver,OHIO,DE,12,17,29,4.0,0,0,0,0,0,0
Jordan Guerad,FIU,DL,16,13,29,1.0,20,0,0,0,0,1
Wesley Williams,DUKE,DE,11,18,29,1.0,0,1,0,0,0,0
Ricky Fletcher,USA,CB,21,8,29,0.0,0,10,0,0,0,0
Peyton Bowen,OU,DB,17,12,29,1.0,60,4,0,0,0,1
Diwun Black,TEM,LB,17,12,29,3.5,0,0,0,0,0,2
Josiah Robinson,GAST,LB,21,8,29,2.0,75,0,1,42,0,0
David Godsey Jr.,ULM,CB,15,14,29,0.0,17,2,3,0,0,0
Oliver Billotte,KENT,DL,12,17,29,1.0,0,1,0,0,0,0
Ethan Burke,TEX,DE,15,14,29,5.0,0,0,0,0,0,1
DeCarlos Nicholson,MSST,CB,15,14,29,0.0,0,2,0,0,0,0
Darius Johnson,UNLV,DL,13,16,29,1.0,50,0,0,0,0,0
Rayyan Buell,OHIO,DT,11,18,29,4.5,0,0,0,0,0,0
Elias Escobar,SHSU,DB,18,11,29,0.0,0,1,0,0,0,0
Charles McCartherens,BUFF,CB,22,7,29,0.0,0,3,3,32,0,1
Damel Hickman,GASO,DB,25,3,28,0.0,0,6,1,2,0,0
Jaden Dedman,NEV,DB,19,9,28,1.0,0,3,0,0,0,0
Praise Amaewhule,UTEP,DE,15,13,28,5.0,6,2,1,17,0,2
Ryan Selig,MINN,LB,13,15,28,0.0,88,0,0,0,0,0
Jaden Crumedy,MSST,DT,10,18,28,2.5,3,2,0,0,0,0
Josh Landry,MIZ,DL,14,14,28,0.0,0,0,0,0,0,0
Hale Motu'apuaka,USU,DT,12,16,28,2.0,10,0,0,0,0,0
Tony Pierce Jr.,CSU,DL,12,16,28,2.0,36,0,0,0,0,1
Te'Cory Couch,MIA,CB,18,10,28,1.0,0,3,3,2,0,1
JaTravis Broughton,UTAH,CB,20,8,28,0.0,12,2,0,0,0,0
Dwight Toombs,FAU,S,17,11,28,0.0,18,0,1,16,0,0
Bralen Trice,WASH,DE,17,11,28,3.0,0,0,0,0,0,0
Makari Paige,MICH,DB,12,16,28,0.0,0,1,0,0,0,0
Na'im Rodman,WSU,DL,10,18,28,0.0,7,0,0,0,0,0
Curley Young Jr.,JVST,DL,16,12,28,3.5,0,0,0,0,0,2
Alex Huntley,SC,DT,16,12,28,2.0,70,2,0,0,0,0
Devon Betty,NCSU,LB,11,17,28,1.0,15,2,0,0,0,0
Quadric Bullard,UCF,DB,24,4,28,0.0,0,3,1,27,0,0
Ty Hamilton,OSU,DT,12,16,28,1.0,26,0,0,0,0,0
Sage Ryan,LSU,S,17,11,28,0.0,0,2,0,0,0,0
Jaylin Davies,UCLA,DB,22,6,28,0.0,22,5,1,7,0,0
Everitt Rogers,TLSA,DL,6,22,28,0.0,0,0,0,0,0,0
JT Tuimoloau,OSU,DE,10,18,28,4.0,0,2,0,0,0,0
Zion Puckett,AUB,S,18,10,28,0.0,0,2,2,0,0,1
Jalen Jordan,USA,S,18,10,28,0.0,0,0,0,0,0,0
Nate Clifton,VAN,DE,11,17,28,5.5,0,1,1,5,0,0
Akeem Dent,FSU,DB,16,12,28,0.0,16,0,0,0,0,1
Kenan Johnson,GT,DB,20,8,28,0.0,0,3,1,21,0,2
Carl Jones Jr.,UCLA,DL,24,4,28,2.0,6,0,0,0,0,0
Jordan Jefferson,LSU,DT,9,19,28,1.5,0,1,0,0,0,0
Phalen Sanford,NEB,DB,15,13,28,0.0,11,2,0,0,0,2
Vonnie Watkins,OHIO,DE,11,17,28,2.0,38,0,0,0,0,2
Isaiah Iton,RUTG,DL,8,20,28,0.5,59,1,0,0,0,0
Kerion Martin,MRSH,S,13,15,28,0.0,0,0,0,0,0,0
Ed Woods,ASU,DB,25,3,28,0.0,3,3,0,0,0,2
Jordan Oladokun,BGSU,CB,19,9,28,0.0,0,5,3,29,0,0
David Gusta,WSU,DT,9,19,28,0.5,7,0,0,0,0,0
Aaron Key,WKU,LB,17,11,28,0.0,0,0,1,0,0,0
Theran Johnson,NU,DB,18,10,28,0.0,15,3,1,0,0,0
Jaylen Jones,VT,S,15,13,28,0.0,0,2,0,0,0,0
Jalen McMurray,TEM,CB,17,11,28,0.0,0,3,0,0,0,0
Aaron Graves,IOWA,DL,10,18,28,1.0,0,1,0,0,0,1
Johnny Hodges,TCU,LB,15,13,28,2.0,4,0,0,0,0,0
Devonte O'Malley,NIU,DT,10,18,28,3.0,0,0,1,2,0,0
Bo Nicolas-Paul,ARMY,DB,19,9,28,0.0,0,1,3,44,1,0
Robert Kennedy,NCSU,DB,13,15,28,1.5,0,3,2,30,1,2
Daedae Hill,FAU,DB,15,13,28,0.0,17,1,1,0,0,0
Ridge Texada,UNT,CB,24,4,28,0.0,0,5,1,0,0,0
D.J. McKinney,OKST,CB,18,10,28,0.0,12,4,0,0,0,0
Malcolm Bell,CONN,DB,19,9,28,0.0,15,3,0,0,0,1
Robert Spears-Jennings,OU,DB,14,14,28,0.0,0,1,0,0,0,0
Kenny Soares Jr.,NU,LB,14,14,28,1.0,62,2,0,0,0,0
Derek Williams Jr.,TEX,DB,15,13,28,0.0,22,2,0,0,0,0
Jalen Mergerson,AFA,S,13,15,28,0.0,0,2,0,0,0,0
Jayden Loving,WKU,DL,12,16,28,2.0,0,2,0,0,0,0
Jacob Finley,NIU,CB,20,8,28,0.0,0,2,0,0,0,0
Lee Molette III,CONN,DB,20,8,28,0.0,0,2,0,0,0,0
Mario Thompson,ODU,LB,11,17,28,1.0,0,1,0,0,0,0
Markel Perry,SHSU,LB,15,12,27,0.0,26,0,0,0,0,0
Braden Fiske,FSU,DL,9,18,27,1.0,0,0,0,0,0,0
Justin Birchette,OHIO,CB,15,12,27,0.0,44,8,0,0,0,0
Myles Cole,TTU,LB,18,9,27,3.5,0,1,0,0,0,0
Josh Newton,TCU,CB,22,5,27,0.0,23,4,1,53,0,0
Alexander Smith,WIS,CB,15,12,27,1.0,0,5,0,0,0,0
Adisa Isaac,PSU,DE,16,11,27,6.5,16,0,0,0,0,1
J'Coryan Anderson,MRSH,LB,11,16,27,1.0,0,0,0,0,0,0
M.J. Devonshire,PITT,DB,14,13,27,0.0,29,9,3,86,1,0
Richie Hagarty,NU,DL,12,15,27,1.5,0,1,0,0,0,0
Chris Adimora,SMU,S,16,11,27,0.0,0,0,1,5,0,0
Gabriel Murphy,UCLA,DL,16,11,27,6.0,0,1,0,0,0,0
Jordan Burch,ORE,DE,10,17,27,3.0,0,1,0,0,0,0
Elijah Chatman,SMU,DT,18,9,27,4.5,0,0,0,0,0,0
D'Quan Douse,GT,DL,13,14,27,2.0,21,0,0,0,0,0
Jermari Harris,IOWA,DB,17,10,27,0.0,0,3,1,0,0,0
Bud Clark,TCU,S,18,9,27,0.0,15,5,2,1,0,0
Noah Tumblin,SDSU,CB,22,5,27,0.0,0,9,2,0,0,0
Daveren Rayner,UK,LB,17,10,27,0.0,8,1,0,0,0,0
DJ Harvey,SJSU,DB,21,6,27,0.0,20,5,0,0,0,0
Bradyn Swinson,LSU,DE,11,16,27,2.0,0,4,0,0,0,2
Kalen King,PSU,CB,19,8,27,0.0,0,2,0,0,0,0
Aydan White,NCSU,CB,16,11,27,1.0,1,7,2,9,0,0
John Humphrey,UCLA,DB,18,9,27,0.0,0,3,2,1,0,1
Spencer Jorgensen,STAN,LB,12,15,27,1.0,0,0,0,0,0,0
Mishael Powell,WASH,S,19,8,27,0.0,137,6,2,89,1,0
Cam Allen,PUR,DB,22,5,27,0.0,49,4,2,5,0,0
Demetries Ford,ASU,DB,21,6,27,0.0,0,4,0,0,0,0
McKel Broussard,UTEP,DB,18,9,27,0.0,12,0,0,0,0,0
Jimari Butler,NEB,LB,13,14,27,4.5,0,1,0,0,0,1
Soane Toia,SJSU,DL,12,15,27,3.0,0,0,0,0,0,0
Ricardo Hallman,WIS,CB,22,5,27,0.0,9,5,5,95,1,0
Cooper Lanz,BAY,DL,14,13,27,1.0,0,0,0,0,0,1
Josh Moten,MRSH,DB,13,14,27,0.0,24,4,1,27,1,0
Domani Jackson,USC,CB,20,7,27,0.0,1,3,0,0,0,0
Travis Hunter,COLO,CB,21,6,27,0.0,34,5,3,-10,0,0
Dasan McCullough,OU,LB,15,12,27,0.0,41,3,0,0,0,0
Jackson Powell,ARMY,LB,19,8,27,2.0,0,0,0,0,0,1
Josh Ratcliff,USM,DT,7,20,27,3.5,15,0,0,0,0,0
Jaylen Swain,JVST,DL,12,15,27,4.0,0,2,0,0,0,1
Corey Walker,WMU,DL,14,13,27,2.5,0,4,0,0,0,1
Kris Trinidad,ODU,DE,10,17,27,2.0,0,0,0,0,0,1
Keonte Lusk,CCU,CB,19,8,27,0.0,0,5,2,43,0,1
AG McGhee,MRSH,S,12,15,27,0.0,0,2,1,0,0,0
Jalen Williams,USM,DL,8,19,27,0.5,25,0,0,0,0,0
Quindario Lee,CMU,DL,13,14,27,2.0,0,0,0,0,0,0
Harrison Taggart,BYU,LB,14,13,27,0.0,0,0,0,0,0,0
Trent Hendrick,JMU,LB,9,18,27,0.0,52,1,0,0,0,0
Eddie Smith,ARST,S,17,10,27,0.0,6,1,2,23,0,0
Loren Strickland,BALL,DB,21,6,27,1.0,0,0,0,0,0,1
Caden Jenkins,BAY,CB,20,7,27,0.0,11,3,3,6,0,0
Tra Thomas,TEM,LB,8,19,27,3.0,0,0,0,0,0,0
Trey Lathan,WVU,LB,11,16,27,0.0,0,2,0,0,0,1
Buddha Peleti,NMSU,LB,11,16,27,4.5,0,0,0,0,0,2
Ty Benefield,BOIS,S,20,7,27,1.0,0,1,1,0,0,0
Kendel Dolby,OU,DB,19,8,27,0.0,-1,2,2,7,0,0
Joseph Bakhole,ULM,DE,12,15,27,0.0,0,0,0,0,0,0
Hasaan Hypolite,HOU,LB,16,10,26,0.0,28,0,0,0,0,0
Braxton Clark,USF,CB,23,3,26,0.0,0,4,1,35,0,0
Jeff Marks,JVST,DL,8,18,26,1.5,0,0,0,0,0,0
Dashaun Jerkins,MASS,S,12,14,26,0.0,32,4,1,53,1,0
Fish McWilliams,UAB,DL,16,10,26,1.0,0,0,0,0,0,1
Aaron Faumui,UVA,DT,12,14,26,0.0,74,2,0,0,0,0
Noa Pola-Gates,UNM,S,15,11,26,0.0,0,2,0,0,0,0
Isaiah Bagnah,BYU,DE,12,14,26,1.0,0,0,0,0,0,1
Micah Abraham,MRSH,DB,15,11,26,0.0,0,10,3,2,0,0
Desmond Little,UAB,LB,13,13,26,4.5,89,1,0,0,0,1
Zahran Manley,STAN,CB,20,6,26,0.0,3,4,1,0,0,0
J.P. Purvis,MSST,LB,9,17,26,0.0,7,0,0,0,0,0
Nate Temple,PITT,DL,8,18,26,1.5,2,0,0,0,0,0
Nic Toomer,IU,DB,22,4,26,1.0,0,3,1,0,0,0
Demon Clowney,CLT,DL,12,14,26,1.5,0,0,0,0,0,0
Cobee Bryant,KU,CB,25,1,26,0.0,16,2,2,24,0,1
Dal'mont Gourdine,CONN,DL,15,11,26,2.0,0,2,0,0,0,0
Jerrin Thompson,TEX,DB,14,12,26,0.0,0,4,2,32,1,0
Caine Savage,NEV,DB,16,10,26,0.0,0,3,0,0,0,0
Ladarius Tennison,MISS,S,19,7,26,1.0,7,0,0,0,0,0
Mannie Nunnery,FLA,LB,9,17,26,0.5,0,0,0,0,0,0
Jalil Clemons,USM,LB,14,12,26,5.5,3,1,0,0,0,2
Damien Miller,UAB,S,16,10,26,0.0,0,0,0,0,0,2
Chris McDonald,TOL,CB,23,3,26,0.0,4,8,2,33,1,0
Jackson Luttrell,JVST,DL,7,19,26,1.5,0,1,0,0,0,0
EJ Jackson,APP,S,16,10,26,0.0,5,3,0,0,0,0
D'Anta Johnson,ECU,DL,13,13,26,4.0,0,0,0,0,0,1
Kevin Knowles II,FSU,DB,11,15,26,0.0,0,3,0,0,0,0
Javaughn Byrd,NIU,CB,18,8,26,0.0,0,4,2,0,0,1
Jordan Favors,APP,S,17,9,26,0.0,10,6,3,20,0,1
Zeek Biggers,GT,DL,9,17,26,1.0,0,3,0,0,0,0
Barryn Sorrell,TEX,DE,13,13,26,4.0,0,0,0,0,0,0
Thailand Baldwin,BALL,DB,21,5,26,0.0,0,4,0,0,0,0
Cam Jackson,FLA,DL,15,11,26,0.0,0,1,0,0,0,0
Khyree Jackson,ORE,DB,18,8,26,2.0,0,5,2,7,0,0
Austin Hill,ARMY,DL,13,13,26,0.0,0,0,0,0,0,1
Nick Andersen,WAKE,DB,16,10,26,0.5,0,3,0,0,0,0
Cameron Ball,ARK,DL,4,22,26,0.5,36,0,0,0,0,1
Santana Hopper,APP,DE,12,14,26,1.5,36,0,0,0,0,0
PJ Ramsey,AFA,LB,17,9,26,6.5,0,2,0,0,0,0
Dion Crawford,BUFF,LB,20,6,26,0.0,0,1,0,0,0,0
Bryce Thornton,FLA,S,14,12,26,0.5,7,1,0,0,0,0
DeShawn Page,MSST,LB,7,19,26,0.5,0,0,0,0,0,1
Phoenix Jackson,FRES,LB,14,12,26,0.0,9,0,1,6,0,0
Will Sorrells,UAB,LB,15,11,26,0.5,0,0,0,0,0,0
Marshon Oxley,CSU,DL,12,14,26,4.0,30,0,0,0,0,2
Bryce Dixon,LIB,DT,7,19,26,1.5,0,2,0,0,0,1
TJ Bush,LIB,DE,9,17,26,2.0,18,3,0,0,0,0
Jack Sadowsky,ISU,LB,10,16,26,0.0,0,0,0,0,0,0
Alexander Kilgore,SMU,LB,19,7,26,3.0,8,0,0,0,0,0
Marquise Robinson,USA,CB,14,12,26,0.0,3,0,1,24,0,0
Jalen Stewart,MASS,LB,15,11,26,1.0,0,0,0,0,0,0
Payton Zdroik,AFA,DL,13,13,26,3.0,0,0,0,0,0,0
Keionte Scott,AUB,CB,22,4,26,0.0,3,3,0,0,0,0
Kameron Howard,CLT,DB,18,8,26,0.0,0,0,2,27,0,0
Norman Massey,ULM,LB,11,15,26,1.0,0,0,0,0,0,1
Will Whitson,CCU,DL,13,13,26,2.0,9,0,0,0,0,0
Isaac Ukwu,MISS,DE,15,10,25,3.5,20,0,0,0,0,0
Elijah Jones,BC,DB,18,7,25,0.0,18,9,5,10,0,1
Andrew Chatfield Jr.,ORST,LB,16,9,25,9.0,0,2,2,24,0,1
Damion Charity,BALL,DB,20,5,25,0.0,0,2,0,0,0,0
Elijah Williams,EMU,LB,14,11,25,1.0,17,0,0,0,0,0
Que Reid,JMU,S,13,12,25,0.0,0,2,0,0,0,0
Martell Irby,ARIZ,DB,14,11,25,0.0,0,2,0,0,0,1
Miles Battle,UTAH,CB,16,9,25,0.0,19,2,1,24,0,0
Ja'Mion Franklin,DUKE,DT,8,17,25,1.0,0,0,0,0,0,0
Tyler Bentley,PITT,DL,5,20,25,0.5,9,0,0,0,0,0
Nikia Eason Jr.,UAB,LB,14,11,25,3.0,8,1,0,0,0,0
Josh Carr Jr.,USM,LB,13,12,25,1.0,0,1,0,0,0,1
Stephen Herron,LOU,DL,13,12,25,0.5,5,0,0,0,0,0
Jamal Hill,ORE,LB,11,14,25,2.0,0,2,0,0,0,2
Jalyn Phillips,CLEM,S,15,10,25,1.0,4,4,0,0,0,0
Cory Stover,ORST,LB,11,14,25,2.0,0,0,0,0,0,0
Jordan Revels,TXST,DE,8,17,25,0.0,4,0,0,0,0,0
Patrick Jenkins,TULN,DL,16,9,25,4.5,55,0,0,0,0,1
Cam Riley,AUB,LB,13,12,25,2.5,15,1,0,0,0,0
Ethan Downs,OU,DL,12,13,25,4.5,0,0,1,13,0,0
Cam Jeffery,ARST,LB,15,10,25,1.0,32,0,0,0,0,0
Chidozie Nwankwo,HOU,DL,13,12,25,1.0,0,0,0,0,0,0
Kevon Darton,SYR,DL,16,9,25,3.0,0,0,0,0,0,1
Max Williams,USC,S,18,7,25,0.0,0,2,1,39,0,0
Ty Robinson,NEB,DL,5,20,25,1.0,0,3,0,0,0,0
Kaleb Ford-Dement,TXST,CB,15,10,25,0.0,0,7,1,17,0,0
Mac Harris,USF,LB,16,9,25,0.0,15,0,0,0,0,1
Miles Capers,VAN,DB,15,10,25,1.0,0,0,0,0,0,0
Jalen Cheek,BC,DB,15,10,25,0.0,0,3,0,0,0,0
Anthony Hawkins,BGSU,DL,10,15,25,2.0,0,2,0,0,0,1
Deven Eastern,MINN,DL,8,17,25,0.0,36,1,0,0,0,0
Corban Hondru,M-OH,LB,9,16,25,0.0,0,0,1,25,0,0
Tobias Fletcher,CCU,S,15,10,25,1.0,12,3,2,100,1,0
David Bailey,STAN,LB,17,8,25,5.0,0,0,0,0,0,0
Zxavian Harris,MISS,DT,15,10,25,1.0,0,0,0,0,0,0
Derrick Moore,MICH,DE,15,10,25,3.0,0,1,0,0,0,1
Jalen Clark,UL,CB,16,9,25,0.0,54,1,1,3,0,2
